id,actual,baseline,CommonAuthorities,Negativity,PersonProperty,DirectAddress,OralCues
0,TC,TR,CO,CO,TR,TR,TR
1,TC,TR,TR,TR,CO,TR,CO
2,CO,CO,CO,CO,CO,CO,CO
3,CO,CO,HI,TR,CO,CO,CO
4,CO,CO,CO,CO,CO,CO,CO
5,CO,CO,HI,TR,CO,CO,CO
6,HI,TR,TR,CO,TR,TR,TR
7,HI,TR,TR,TR,TR,TR,TR
8,TR,CO,CO,CO,TR,TR,TR
9,TR,CO,TR,TR,CO,CO,CO
10,CO,CO,CO,CO,CO,CO,CO
11,CO,CO,HI,TR,CO,CO,CO
12,TC,CO,CO,CO,TC,CO,TC
13,TC,CO,TR,TR,CO,CO,CO
14,CO,CO,CO,CO,TR,CO,TR
15,CO,CO,TR,TR,CO,CO,CO
16,CO,CO,CO,CO,CO,CO,CO
17,CO,CO,CO,CO,CO,CO,CO
18,TR,TR,CO,CO,TR,TR,TR
19,TR,TR,TR,TR,CO,TR,CO
20,TC,CO,CO,CO,TC,CO,TC
21,TC,CO,HI,TR,CO,CO,CO
22,TR,TR,CO,CO,TR,TR,TR
23,TR,TR,TR,TR,CO,TR,CO
24,HI,HI,CO,CO,TR,HI,HI
25,HI,HI,HI,TR,CO,CO,CO
26,CO,CO,CO,CO,TR,CO,TR
27,CO,CO,HI,TR,CO,CO,CO
28,CO,CO,CO,CO,TR,CO,TR
29,CO,CO,HI,TR,CO,CO,CO
30,CO,CO,CO,CO,TC,CO,TR
31,CO,CO,HI,TR,CO,CO,CO
32,TR,TR,CO,CO,TR,TR,TR
33,TR,TR,TR,TR,CO,TR,CO
34,TR,CO,CO,CO,CO,CO,CO
35,TR,CO,TR,TR,CO,CO,CO
36,TR,TR,TR,CO,TR,TR,TR
37,TR,TR,TR,TR,TR,TR,TR
38,TR,TR,TR,TR,TR,TR,TR
39,TR,TR,TR,TR,TR,TR,TR
40,TR,TR,TR,TR,TR,TR,TR
41,TR,TR,TR,TR,TR,TR,TR
42,CO,CO,CO,CO,TR,TR,TR
43,CO,CO,HI,TR,CO,CO,CO
44,CO,CO,CO,CO,CO,CO,CO
45,CO,CO,HI,TR,CO,CO,CO
46,TR,TR,TR,HI,TR,TR,TR
47,TR,TR,TR,TR,TR,TR,TR
48,TR,HI,CO,HI,HI,HI,HI
49,TR,HI,HI,TR,HI,HI,HI
50,TC,TR,CO,CO,TR,TR,TR
51,TC,TR,TR,TR,TR,TR,TR
52,CO,CO,CO,CO,CO,CO,CO
53,CO,CO,HI,TR,CO,CO,CO
54,TC,TR,CO,CO,TR,TR,TR
55,TC,TR,TR,TR,TR,TR,TR
56,TR,TR,CO,CO,TR,TR,TR
57,TR,TR,TR,TR,TR,TR,TR
58,CO,CO,CO,CO,CO,CO,CO
59,CO,CO,CO,CO,CO,CO,CO
60,TR,TR,TR,CO,TR,TR,TR
61,TR,TR,TR,TR,TR,TR,TR
62,CO,CO,CO,CO,CO,CO,CO
63,CO,CO,HI,TR,CO,CO,CO
64,TC,TR,CO,CO,TR,TR,TR
65,TC,TR,HI,TR,CO,TC,CO
66,CO,CO,CO,CO,CO,CO,CO
67,CO,CO,CO,CO,CO,CO,CO
68,CO,TR,CO,CO,TR,TR,TR
69,CO,TR,HI,TR,CO,TC,CO
70,HI,CO,CO,CO,TC,CO,TR
71,HI,CO,HI,TR,CO,CO,CO
72,CO,CO,CO,CO,CO,CO,HI
73,CO,CO,HI,TR,CO,CO,CO
74,HI,CO,CO,CO,TR,CO,TR
75,HI,CO,HI,TR,CO,CO,CO
76,TR,TR,TR,TR,TR,TR,TR
77,TR,TR,TR,TR,TR,TR,TR
78,TR,TR,TR,HI,TR,TR,TR
79,TR,TR,TR,TR,TR,TR,TR
80,TR,TR,TR,TR,TR,TR,TR
81,TR,TR,TR,TR,TR,TR,TR
82,TC,TR,CO,CO,TR,TR,TR
83,TC,TR,TR,TR,TR,TR,TR
84,TC,TR,CO,CO,TR,TR,TR
85,TC,TR,TR,TR,CO,TR,CO
86,TR,TR,CO,CO,TR,TR,TR
87,TR,TR,TR,TR,CO,TR,CO
88,CO,CO,CO,CO,CO,CO,CO
89,CO,CO,CO,CO,CO,CO,CO
90,CO,CO,CO,CO,TC,CO,TC
91,CO,CO,HI,TR,CO,CO,CO
92,CO,HI,CO,CO,HI,HI,HI
93,CO,HI,HI,TR,HI,HI,HI
94,TC,TR,CO,CO,TR,TR,TR
95,TC,TR,TR,TR,TR,TR,TR
96,CO,CO,CO,CO,TC,CO,TC
97,CO,CO,HI,TR,CO,CO,CO
98,CO,CO,CO,CO,CO,CO,TC
99,CO,CO,HI,TR,CO,CO,CO
100,CO,CO,CO,CO,CO,CO,CO
101,CO,CO,HI,TR,CO,CO,CO
102,CO,CO,CO,CO,CO,CO,CO
103,CO,CO,HI,TR,CO,CO,CO
104,CO,CO,CO,CO,TC,CO,TR
105,CO,CO,HI,TR,CO,CO,CO
106,TC,CO,CO,CO,CO,CO,TR
107,TC,CO,HI,TR,CO,CO,CO
108,TC,CO,CO,CO,TR,CO,TR
109,TC,CO,HI,TR,CO,CO,CO
110,HI,HI,CO,CO,TR,HI,HI
111,HI,HI,HI,TR,HI,CO,CO
112,HI,CO,CO,CO,CO,CO,CO
113,HI,CO,HI,TR,CO,CO,CO
114,TC,TR,CO,CO,TR,TR,TR
115,TC,TR,TR,TR,CO,TR,CO
116,TC,TR,CO,CO,TR,TR,TR
117,TC,TR,TR,TR,CO,TR,CO
118,HI,CO,CO,CO,CO,CO,CO
119,HI,CO,HI,TR,CO,CO,CO
120,HI,CO,CO,CO,TR,CO,TR
121,HI,CO,HI,TR,CO,CO,CO
122,CO,CO,CO,CO,CO,CO,CO
123,CO,CO,HI,TR,CO,CO,CO
124,TR,CO,CO,CO,TR,CO,TR
125,TR,CO,HI,TR,CO,CO,CO
126,TC,CO,CO,CO,CO,CO,CO
127,TC,CO,HI,TR,CO,CO,CO
128,CO,CO,CO,CO,CO,CO,CO
129,CO,CO,CO,CO,CO,CO,CO
130,TR,CO,CO,CO,TR,CO,TR
131,TR,CO,HI,TR,CO,CO,CO
132,CO,CO,CO,CO,CO,CO,CO
133,CO,CO,CO,TR,CO,CO,CO
134,CO,TR,CO,CO,TR,TR,TR
135,CO,TR,TR,TR,CO,TR,CO
136,CO,CO,CO,CO,CO,CO,CO
137,CO,CO,CO,CO,CO,CO,CO
138,CO,CO,CO,CO,CO,CO,CO
139,CO,CO,HI,TR,CO,CO,CO
140,HI,HI,CO,CO,TR,HI,HI
141,HI,HI,HI,TR,HI,HI,HI
142,HI,TR,TR,HI,TR,TR,TR
143,HI,TR,HI,TR,HI,TR,TR
144,TR,TR,CO,CO,TR,TR,TR
145,TR,TR,TR,TR,TR,TR,TR
146,TC,TR,TR,CO,TR,TR,TR
147,TC,TR,TR,TR,TR,TR,TR
148,CO,CO,CO,CO,CO,CO,CO
149,CO,CO,CO,CO,CO,CO,CO
150,CO,CO,CO,CO,CO,CO,CO
151,CO,CO,CO,CO,CO,CO,CO
152,CO,CO,CO,CO,CO,CO,CO
153,CO,CO,HI,TR,CO,CO,CO
154,CO,CO,CO,CO,TC,CO,TR
155,CO,CO,HI,TR,CO,CO,CO
156,TR,TR,CO,CO,TR,TR,TR
157,TR,TR,HI,TR,HI,TR,CO
158,CO,CO,CO,CO,CO,CO,CO
159,CO,CO,HI,TR,CO,CO,CO
160,CO,CO,CO,CO,CO,CO,CO
161,CO,CO,CO,CO,CO,CO,CO
162,CO,CO,CO,CO,CO,CO,CO
163,CO,CO,CO,CO,CO,CO,CO
164,TR,TR,CO,CO,TR,TR,TR
165,TR,TR,TR,TR,TR,TR,CO
166,CO,CO,CO,CO,TC,CO,TC
167,CO,CO,HI,TR,CO,CO,CO
168,CO,CO,CO,CO,CO,CO,CO
169,CO,CO,HI,TR,CO,CO,CO
170,TR,TC,CO,CO,TC,TR,TR
171,TR,TC,TR,TR,CO,TC,CO
172,CO,CO,CO,CO,CO,CO,CO
173,CO,CO,HI,TR,CO,CO,CO
174,CO,CO,CO,CO,TC,CO,TR
175,CO,CO,HI,TR,CO,CO,CO
176,CO,TR,TR,CO,TR,TR,TR
177,CO,TR,TR,TR,TR,TR,TR
178,HI,CO,CO,CO,TR,CO,TR
179,HI,CO,HI,TR,CO,CO,CO
180,TR,TR,CO,CO,TR,TR,TR
181,TR,TR,TR,TR,CO,TR,CO
182,TR,CO,CO,CO,TC,CO,TC
183,TR,CO,HI,TR,CO,CO,CO
184,TR,CO,CO,CO,TR,CO,TR
185,TR,CO,TR,TR,CO,CO,CO
186,TR,TR,TR,CO,TR,TR,TR
187,TR,TR,TR,TR,TR,TR,TR
188,TC,CO,CO,CO,TC,CO,TC
189,TC,CO,HI,TR,CO,CO,CO
190,CO,CO,CO,CO,CO,CO,CO
191,CO,CO,HI,TR,CO,CO,CO
192,HI,TR,CO,CO,TR,TR,TR
193,HI,TR,TR,TR,CO,TR,CO
194,TR,CO,CO,CO,TR,TR,TR
195,TR,CO,TR,TR,CO,CO,CO
196,TC,CO,CO,CO,TR,CO,TR
197,TC,CO,HI,TR,CO,CO,CO
198,CO,CO,CO,CO,CO,CO,CO
199,CO,CO,CO,CO,CO,CO,CO
200,TR,TR,CO,CO,TR,TR,TR
201,TR,TR,TR,TR,TR,TR,TR
202,CO,CO,CO,CO,TC,CO,TC
203,CO,CO,HI,TR,CO,CO,CO
204,CO,TR,CO,CO,TR,TR,TR
205,CO,TR,TR,TR,CO,TC,CO
206,CO,CO,CO,CO,TC,CO,TC
