id,actual,baseline,CommonAuthorities,Negativity,PersonProperty,DirectAddress,OralCues
207,CO,CO,HI,TR,CO,CO,CO
208,CO,CO,CO,CO,TC,CO,TC
209,CO,CO,TR,TR,CO,CO,CO
210,CO,CO,CO,CO,TC,CO,TC
211,CO,CO,TR,TR,CO,CO,CO
212,TC,TR,CO,CO,TC,TR,TR
213,TC,TR,TR,TR,CO,TC,CO
214,CO,TR,CO,CO,TR,TR,TR
215,CO,TR,TR,TR,CO,TR,CO
216,CO,CO,CO,CO,TC,CO,TC
217,CO,CO,TR,TR,CO,CO,CO
218,CO,CO,CO,CO,TC,CO,TC
219,CO,CO,TR,TR,CO,CO,CO
220,CO,CO,CO,CO,TC,CO,TC
221,CO,CO,TR,TR,CO,CO,CO
222,CO,CO,CO,CO,TR,CO,TR
223,CO,CO,TR,TR,CO,CO,CO
224,CO,TR,CO,CO,TR,TR,TR
225,CO,TR,TR,TR,TR,TR,CO
226,TR,TR,CO,CO,TR,TR,TR
227,TR,TR,TR,TR,TR,TR,TR
228,TR,CO,CO,CO,CO,CO,CO
229,TR,CO,HI,TR,CO,CO,CO
230,TR,TR,TR,HI,TR,TR,TR
231,TR,TR,HI,TR,HI,TR,HI
232,TR,TR,CO,CO,TR,TR,TR
233,TR,TR,HI,TR,HI,TR,CO
234,TR,TR,CO,CO,TR,TR,TR
235,TR,TR,TR,TR,TR,TR,TR
236,TR,CO,CO,CO,TR,HI,TR
237,TR,CO,HI,TR,CO,CO,CO
238,HI,CO,CO,CO,TR,TR,TR
239,HI,CO,HI,TR,CO,CO,CO
240,TR,CO,CO,CO,TR,TR,TR
241,TR,CO,HI,TR,CO,CO,CO
242,CO,CO,CO,CO,CO,CO,CO
243,CO,CO,HI,TR,CO,CO,CO
244,CO,CO,CO,CO,CO,CO,CO
245,CO,CO,HI,TR,CO,CO,CO
246,TC,TR,CO,CO,TR,TR,TR
247,TC,TR,TR,TR,CO,TR,CO
248,TR,TR,TR,TR,TR,TR,TR
249,TR,TR,TR,TR,TR,TR,TR
250,CO,CO,CO,CO,TR,CO,TR
251,CO,CO,TR,TR,CO,CO,CO
252,TR,CO,CO,CO,TR,CO,TR
253,TR,CO,HI,TR,CO,CO,CO
254,TC,TR,CO,CO,TR,TR,TR
255,TC,TR,TR,TR,TR,TR,TR
256,CO,CO,CO,CO,CO,CO,CO
257,CO,CO,HI,TR,CO,CO,CO
258,CO,CO,CO,CO,TR,CO,TR
259,CO,CO,HI,TR,CO,CO,CO
260,TR,TR,TR,HI,TR,TR,TR
261,TR,TR,TR,TR,TR,TR,TR
262,TR,TR,TR,CO,TR,TR,TR
263,TR,TR,TR,TR,TR,TR,TR
264,CO,TR,CO,CO,TR,TR,TR
265,CO,TR,TR,TR,CO,TC,CO
266,TR,TR,CO,CO,TR,TR,TR
267,TR,TR,TR,TR,TR,TR,CO
268,TC,TR,CO,CO,TR,TR,TR
269,TC,TR,HI,TR,CO,TR,CO
270,TC,CO,CO,CO,TC,CO,TC
271,TC,CO,HI,TR,CO,CO,CO
272,CO,CO,CO,CO,TC,CO,TR
273,CO,CO,TR,TR,CO,CO,CO
274,CO,CO,CO,CO,TC,CO,TR
275,CO,CO,TR,TR,CO,CO,CO
276,TC,CO,CO,CO,TC,CO,TC
277,TC,CO,TR,TR,CO,CO,CO
278,CO,CO,CO,CO,TR,TR,TR
279,CO,CO,TR,TR,CO,CO,CO
280,TR,TR,CO,CO,TR,TR,TR
281,TR,TR,TR,TR,TR,TR,TR
282,TR,TR,CO,CO,TR,TR,TR
283,TR,TR,TR,TR,CO,TR,CO
284,TR,TR,CO,CO,TR,TR,TR
285,TR,TR,TR,TR,CO,TR,CO
286,TR,TR,CO,CO,TR,TR,TR
287,TR,TR,TR,TR,CO,TR,CO
288,CO,CO,CO,CO,TC,CO,TC
289,CO,CO,HI,TR,CO,CO,CO
290,TR,TR,TR,TR,TR,TR,TR
291,TR,TR,TR,TR,TR,TR,TR
292,TR,TR,TR,CO,TR,TR,TR
293,TR,TR,TR,TR,TR,TR,TR
294,TR,TR,CO,CO,TR,TR,TR
295,TR,TR,TR,TR,TR,TR,TR
296,CO,CO,CO,CO,CO,CO,CO
297,CO,CO,CO,CO,CO,CO,CO
298,CO,CO,CO,CO,TR,CO,TR
299,CO,CO,TR,TR,CO,CO,CO
300,CO,CO,CO,CO,CO,CO,CO
301,CO,CO,HI,TR,CO,CO,CO
302,CO,CO,CO,CO,TR,CO,TR
303,CO,CO,HI,TR,CO,CO,CO
304,TC,TR,CO,CO,TR,TR,TR
305,TC,TR,HI,TR,CO,CO,CO
306,CO,CO,CO,CO,CO,CO,CO
307,CO,CO,CO,CO,CO,CO,CO
308,CO,CO,CO,CO,CO,CO,CO
309,CO,CO,HI,TR,CO,CO,CO
310,CO,CO,CO,CO,TR,CO,TR
311,CO,CO,HI,TR,CO,CO,CO
312,CO,CO,CO,CO,CO,CO,CO
313,CO,CO,CO,CO,CO,CO,CO
314,CO,CO,CO,CO,CO,CO,CO
315,CO,CO,CO,TR,CO,CO,CO
316,CO,CO,CO,CO,CO,CO,CO
317,CO,CO,CO,TR,CO,CO,CO
318,CO,CO,CO,CO,TC,CO,TC
319,CO,CO,HI,TR,CO,CO,CO
320,CO,CO,CO,CO,TC,CO,TC
321,CO,CO,TC,TR,CO,CO,CO
322,CO,CO,CO,CO,TR,CO,TR
323,CO,CO,HI,TR,CO,CO,CO
324,HI,CO,CO,CO,TR,CO,TR
325,HI,CO,HI,TR,CO,CO,CO
326,CO,CO,CO,CO,CO,CO,CO
327,CO,CO,HI,TR,CO,CO,CO
328,CO,CO,CO,CO,CO,CO,CO
329,CO,CO,HI,TR,CO,CO,CO
330,TR,TR,CO,CO,TR,TR,TR
331,TR,TR,TR,TR,TR,TR,CO
332,CO,CO,CO,CO,CO,CO,CO
333,CO,CO,HI,TR,CO,CO,CO
334,TR,TC,CO,CO,TC,TR,TR
335,TR,TC,HI,TR,CO,TC,CO
336,CO,TR,TR,CO,TR,TR,TR
337,CO,TR,TR,TR,TR,TR,TR
338,TR,TR,TR,CO,TR,TR,TR
339,TR,TR,TR,TR,TR,TR,TR
340,HI,HI,CO,CO,TR,HI,TR
341,HI,HI,HI,TR,CO,CO,CO
342,TR,TR,TR,HI,TR,TR,TR
343,TR,TR,TR,TR,TR,TR,TR
344,HI,CO,CO,CO,TC,CO,HI
345,HI,CO,HI,TR,CO,CO,CO
346,TC,TR,CO,CO,TR,TR,TR
347,TC,TR,TR,TR,CO,TC,CO
348,CO,CO,CO,CO,TC,CO,TR
349,CO,CO,TR,TR,CO,CO,CO
350,TC,TR,CO,CO,TR,HI,TR
351,TC,TR,HI,TR,HI,TR,CO
352,HI,TR,TR,HI,TR,TR,TR
353,HI,TR,HI,TR,HI,TR,TR
354,HI,CO,CO,CO,CO,CO,HI
355,HI,CO,HI,TR,CO,CO,CO
356,TR,TR,CO,CO,TR,TR,TR
357,TR,TR,HI,TR,HI,TR,CO
358,CO,CO,CO,CO,CO,CO,CO
359,CO,CO,HI,CO,CO,CO,CO
360,CO,CO,CO,CO,CO,CO,CO
361,CO,CO,CO,CO,CO,CO,CO
362,TR,CO,CO,CO,TC,CO,TR
363,TR,CO,HI,TR,CO,CO,CO
364,TR,TR,CO,HI,TR,TR,TR
365,TR,TR,HI,TR,HI,TR,HI
366,CO,TR,CO,CO,TR,TR,TR
367,CO,TR,TR,TR,CO,TR,CO
368,CO,CO,CO,CO,CO,CO,CO
369,CO,CO,HI,TR,CO,CO,CO
370,TR,TR,CO,CO,TR,TR,TR
371,TR,TR,TR,TR,CO,TR,CO
372,HI,HI,CO,CO,TR,HI,TR
373,HI,HI,HI,TR,CO,CO,CO
374,TR,TR,CO,CO,TR,TR,TR
375,TR,TR,TR,TR,CO,TR,CO
376,HI,HI,CO,CO,HI,HI,HI
377,HI,HI,HI,TR,HI,CO,CO
378,CO,CO,CO,CO,CO,CO,CO
379,CO,CO,CO,CO,CO,CO,CO
380,CO,CO,CO,CO,TR,CO,TR
381,CO,CO,HI,TR,CO,CO,CO
382,CO,CO,CO,CO,CO,CO,CO
383,CO,CO,CO,TR,CO,CO,CO
384,TR,CO,CO,CO,TC,CO,TC
385,TR,CO,TR,TR,CO,CO,CO
386,TC,CO,CO,CO,TC,CO,TC
387,TC,CO,HI,TR,CO,CO,CO
388,TR,TR,TR,CO,TR,TR,TR
389,TR,TR,TR,TR,TR,TR,TR
390,CO,CO,CO,CO,CO,CO,CO
391,CO,CO,HI,TR,CO,CO,CO
392,HI,CO,CO,CO,TC,CO,TC
393,HI,CO,HI,TR,CO,CO,CO
394,CO,CO,CO,CO,TR,CO,TR
395,CO,CO,TR,TR,CO,CO,CO
396,TR,TR,TR,TR,TR,TR,TR
397,TR,TR,TR,TR,TR,TR,TR
398,TR,TR,TR,CO,TR,TR,TR
399,TR,TR,TR,TR,TR,TR,TR
400,TR,TR,TR,CO,TR,TR,TR
401,TR,TR,TR,TR,TR,TR,TR
402,TR,TR,TR,TR,TR,TR,TR
403,TR,TR,TR,TR,TR,TR,TR
404,TR,TR,TR,TR,TR,TR,TR
405,TR,TR,TR,TR,TR,TR,TR
406,TR,TR,TR,TR,TR,TR,TR
407,TR,TR,TR,TR,TR,TR,TR
408,TR,TR,TR,TR,TR,TR,TR
409,TR,TR,TR,TR,TR,TR,TR
410,TR,TR,TR,TR,TR,TR,TR
411,TR,TR,TR,TR,TR,TR,TR
412,TR,TR,TR,TR,TR,TR,TR
413,TR,TR,TR,TR,TR,TR,TR
414,TR,TR,TR,TR,TR,TR,TR
415,TR,TR,TR,TR,TR,TR,TR
416,CO,TR,CO,CO,TR,TR,TR
417,CO,TR,TR,TR,CO,TC,CO
418,CO,CO,CO,CO,CO,CO,TC
419,CO,CO,HI,TR,CO,CO,CO
420,CO,CO,CO,CO,CO,CO,CO
421,CO,CO,CO,CO,CO,CO,CO
422,CO,CO,CO,CO,TC,CO,TC
423,CO,CO,HI,TR,CO,CO,CO
424,CO,CO,CO,CO,CO,CO,TR
425,CO,CO,HI,TR,CO,CO,CO
426,CO,CO,CO,CO,CO,CO,CO
427,CO,CO,HI,TR,CO,CO,CO
428,CO,CO,CO,CO,TC,CO,TC
429,CO,CO,HI,TR,CO,CO,CO
430,CO,CO,CO,CO,TC,CO,TC
431,CO,CO,TR,TR,CO,CO,CO
432,CO,CO,CO,CO,CO,CO,CO
433,CO,CO,HI,TR,CO,CO,CO
434,CO,CO,CO,CO,CO,CO,CO
435,CO,CO,HI,TR,CO,CO,CO
436,CO,CO,CO,CO,CO,CO,CO
437,CO,CO,CO,TR,CO,CO,CO
438,CO,CO,CO,CO,TC,CO,TC
439,CO,CO,HI,TR,CO,CO,CO
440,CO,CO,CO,CO,TR,CO,TR
441,CO,CO,TR,TR,CO,CO,CO
442,CO,CO,CO,CO,CO,CO,TC
443,CO,CO,HI,TR,CO,CO,CO
444,HI,TR,CO,CO,TR,TR,TR
445,HI,TR,TR,TR,CO,TR,CO
446,HI,TR,CO,CO,TR,TR,TR
447,HI,TR,TR,TR,TR,TR,TR
448,HI,CO,CO,CO,TC,CO,TR
449,HI,CO,HI,TR,CO,CO,CO
450,HI,CO,CO,CO,TR,CO,TR
451,HI,CO,HI,TR,CO,CO,CO
452,HI,TR,CO,CO,TR,HI,TR
453,HI,TR,HI,TR,HI,TR,CO
454,HI,TR,CO,CO,TR,TR,TR
455,HI,TR,TR,TR,HI,TR,TR
456,HI,TR,TR,HI,TR,TR,TR
457,HI,TR,HI,TR,HI,TR,HI
458,HI,HI,CO,CO,TR,HI,TR
459,HI,HI,HI,TR,CO,CO,CO
460,HI,TR,CO,CO,TR,TR,TR
461,HI,TR,TR,TR,TR,TR,TR
462,HI,CO,CO,CO,TC,HI,TR
463,HI,CO,HI,TR,CO,CO,CO
464,TR,TR,CO,CO,TR,TR,TR
465,TR,TR,TR,TR,CO,TR,CO
466,TR,CO,CO,CO,TC,CO,TC
467,TR,CO,HI,TR,CO,CO,CO
468,TR,TR,CO,CO,TR,TR,TR
469,TR,TR,TR,TR,CO,TR,CO
470,TR,TR,CO,CO,TR,TR,TR
471,TR,TR,TR,TR,CO,TR,CO
472,TR,TR,TR,CO,TR,TR,TR
473,TR,TR,TR,TR,TR,TR,TR
474,TR,TC,CO,CO,TC,TC,TC
475,TR,TC,TR,TR,CO,TC,CO
476,TR,TR,CO,CO,TR,TR,TR
477,TR,TR,TR,TR,CO,TR,CO
478,TR,TR,CO,CO,TR,TR,TR
479,TR,TR,TR,TR,CO,CO,CO
480,TR,TR,CO,CO,TR,TR,TR
481,TR,TR,TR,TR,CO,TR,CO
482,TR,TR,CO,CO,TR,TR,TR
483,TR,TR,TR,TR,CO,TR,CO
484,TR,CO,CO,CO,TC,CO,TC
485,TR,CO,HI,TR,CO,CO,CO
486,TR,CO,CO,CO,TR,CO,TR
487,TR,CO,TR,TR,CO,CO,CO
488,CO,CO,CO,CO,CO,CO,CO
489,CO,CO,HI,TR,CO,CO,CO
490,TC,CO,CO,CO,TC,CO,TC
491,TC,CO,HI,TR,CO,CO,CO
492,TR,TR,CO,CO,TR,TR,TR
493,TR,TR,TR,TR,CO,TR,CO
494,CO,CO,CO,CO,CO,CO,CO
495,CO,CO,CO,CO,CO,CO,CO
496,CO,CO,CO,CO,CO,CO,CO
497,CO,CO,HI,TR,CO,CO,CO
498,TR,TR,CO,CO,TR,TR,TR
499,TR,TR,TR,TR,CO,TR,CO
500,CO,CO,CO,CO,TC,CO,TC
501,CO,CO,HI,TR,CO,CO,CO
502,CO,CO,CO,CO,CO,CO,CO
503,CO,CO,CO,TR,CO,CO,CO
504,CO,CO,CO,CO,CO,CO,CO
505,CO,CO,HI,TR,CO,CO,CO
506,TC,CO,CO,CO,TC,CO,TC
507,TC,CO,HI,TR,CO,CO,CO
508,CO,CO,CO,CO,TC,CO,TR
509,CO,CO,HI,TR,CO,CO,CO
510,CO,CO,CO,CO,TC,CO,TC
511,CO,CO,TR,TR,CO,CO,CO
512,CO,CO,CO,CO,TC,CO,TC
513,CO,CO,HI,TR,CO,CO,CO
514,CO,CO,CO,CO,CO,CO,TC
515,CO,CO,TR,TR,CO,CO,CO
516,CO,CO,CO,CO,TC,CO,TC
517,CO,CO,HI,TR,CO,CO,CO
518,CO,CO,CO,CO,CO,CO,CO
519,CO,CO,CO,TR,CO,CO,CO
520,CO,CO,CO,CO,TC,CO,TC
521,CO,CO,HI,TR,CO,CO,CO
522,CO,CO,CO,CO,CO,CO,CO
523,CO,CO,HI,TR,CO,CO,CO
524,TR,CO,CO,CO,TC,CO,TC
525,TR,CO,TR,TR,CO,CO,CO
526,TR,CO,CO,CO,TC,CO,TR
527,TR,CO,TR,TR,CO,CO,CO
528,TR,CO,CO,CO,TC,CO,TC
529,TR,CO,HI,TR,CO,CO,CO
530,TC,CO,CO,CO,TC,CO,TC
531,TC,CO,TR,TR,CO,CO,CO
532,CO,CO,CO,CO,TC,CO,TC
533,CO,CO,HI,TR,CO,CO,CO
534,CO,CO,CO,CO,TR,CO,TR
535,CO,CO,HI,TR,CO,CO,CO
536,CO,CO,CO,CO,CO,CO,CO
537,CO,CO,HI,TR,CO,CO,CO
538,TR,TR,CO,CO,TR,TR,TR
539,TR,TR,TR,TR,CO,TR,CO
540,CO,CO,CO,CO,TR,CO,TR
541,CO,CO,TR,TR,CO,CO,CO
542,CO,CO,CO,CO,CO,CO,CO
543,CO,CO,HI,TR,CO,CO,CO
544,TR,TR,CO,CO,TR,TR,TR
545,TR,TR,TR,TR,CO,TR,CO
546,TR,TR,CO,CO,TR,TR,TR
547,TR,TR,TR,TR,CO,TR,CO
548,TR,TR,TR,TR,TR,TR,TR
549,TR,TR,TR,TR,TR,TR,TR
550,CO,CO,CO,CO,CO,CO,CO
551,CO,CO,HI,TR,CO,CO,CO
552,HI,HI,CO,CO,TR,HI,HI
553,HI,HI,HI,TR,CO,CO,CO
554,TR,TR,CO,CO,TR,TR,TR
555,TR,TR,TR,TR,CO,TR,CO
556,CO,TR,CO,CO,TR,TR,TR
557,CO,TR,TR,TR,CO,CO,CO
558,CO,CO,CO,CO,CO,CO,CO
559,CO,CO,HI,TR,CO,CO,CO
560,CO,CO,CO,CO,TC,CO,TC
561,CO,CO,TR,TR,CO,CO,CO
562,CO,CO,CO,CO,CO,CO,CO
563,CO,CO,HI,TR,CO,CO,CO
564,CO,CO,CO,CO,CO,CO,CO
565,CO,CO,HI,TR,CO,CO,CO
566,CO,CO,CO,CO,CO,CO,CO
567,CO,CO,HI,TR,CO,CO,CO
568,CO,CO,CO,CO,TC,CO,TR
569,CO,CO,TR,TR,CO,CO,CO
570,CO,CO,CO,CO,TR,CO,TR
571,CO,CO,TR,TR,CO,CO,CO
572,TR,TR,CO,CO,TR,TR,TR
573,TR,TR,TR,TR,TR,TR,CO
574,TR,TR,CO,CO,TR,TR,TR
575,TR,TR,HI,TR,CO,TR,CO
576,CO,CO,CO,CO,CO,CO,CO
577,CO,CO,CO,CO,CO,CO,CO
578,TR,TR,CO,CO,TR,TR,TR
579,TR,TR,TR,TR,TR,TR,TR
580,CO,CO,CO,CO,TC,CO,TR
581,CO,CO,HI,TR,CO,CO,CO
582,CO,TR,CO,CO,TR,TR,TR
583,CO,TR,TR,TR,CO,TR,CO
584,TC,CO,CO,CO,TC,CO,TC
585,TC,CO,HI,TR,CO,CO,CO
586,TR,CO,CO,CO,TR,CO,TR
587,TR,CO,TR,TR,CO,CO,CO
588,TR,TR,CO,CO,TR,TR,TR
589,TR,TR,TR,TR,CO,TR,CO
590,CO,TR,CO,CO,TR,TR,TR
591,CO,TR,TR,TR,TR,TR,TR
592,TR,CO,CO,CO,CO,CO,CO
593,TR,CO,HI,TR,CO,CO,CO
594,TR,TR,TR,TC,TR,TR,TR
595,TR,TR,TR,TR,TR,TR,TR
596,CO,TR,CO,CO,TR,TR,TR
597,CO,TR,TR,TR,CO,TR,CO
598,CO,CO,CO,CO,TC,CO,TC
599,CO,CO,HI,TR,CO,CO,CO
600,CO,CO,CO,CO,CO,CO,CO
601,CO,CO,HI,TR,CO,CO,CO
602,TR,TR,TR,CO,TR,TR,TR
603,TR,TR,TR,TR,TR,TR,TR
604,CO,TR,CO,CO,TR,TR,TR
