id,actual,rf,rf-bal,lr,lr-bal
0,False,0.63,0.48,0.4615436905189977,0.29038409425391704
1,False,0.64,0.56,0.6224702690106134,0.48978166191306743
2,False,0.64,0.62,0.7043953874315526,0.5136102836285159
3,False,0.27,0.23,0.5309741394551385,0.27542677220598677
4,False,0.13,0.16,0.35033522821072977,0.20646900816308736
5,False,0.25,0.3,0.16458616609443272,0.09035699528959483
6,False,0.13,0.1,0.12558978155557277,0.060325436943394685
7,False,0.1,0.12,0.027722156433285447,0.015542129611986122
8,False,0.33,0.23,0.00546448874111744,0.003333581744714947
9,False,0.38,0.33,0.06952850352934775,0.04986413343092842
10,False,0.21,0.28,0.16611132042275228,0.057674744850198106
11,False,0.17,0.11,0.13842564655116912,0.1004859939617978
12,False,0.11,0.12,0.13159684041872458,0.08146270101784286
13,False,0.24,0.21,0.5739845685586036,0.31449107394043363
14,False,0.33,0.33,0.1012972466594605,0.04360359250877467
15,False,0.72,0.67,0.6130171540913942,0.3854659126862124
16,False,0.58,0.57,0.5072579328060823,0.29854734412502953
17,False,0.63,0.54,0.515423224488425,0.3320681077509441
18,False,0.55,0.54,0.05028185178879838,0.020219051328098328
19,False,0.09,0.04,0.05162056854649058,0.02700771557273513
20,False,0.51,0.46,0.6983237129980453,0.39987787510877654
21,False,0.55,0.52,0.029607213641896887,0.010252864962118491
22,False,0.13,0.14,0.2636822918549165,0.13227247121193522
23,False,0.28,0.37,0.8490742999657807,0.613835506072402
24,False,0.45,0.34,0.1779549636105924,0.09226500949241909
25,False,0.18,0.16,0.08706992614204909,0.045961962142310436
26,False,0.12,0.15,0.18329715885868617,0.11026819317593112
27,False,0.09,0.1,0.22433090972615194,0.12230006324386487
28,False,0.12,0.16,0.2629492948102825,0.13947719092344565
29,False,0.34,0.33,0.044372597974432,0.030179038669891183
30,False,0.1,0.11,0.1014649856586415,0.03951520126504827
31,False,0.07,0.15,0.07286610250506885,0.029286228524138036
32,False,0.19,0.1,0.18477002238487322,0.0708970724608659
33,False,0.2,0.2,0.17196737471541707,0.07487661649257761
34,False,0.24,0.27,0.1981269044549096,0.12458380545985277
35,False,0.24,0.2,0.7203081079580341,0.5174197274142536
36,False,0.26,0.19,0.19944555815296167,0.08262756825500049
37,False,0.52,0.45,0.34760233819090725,0.1764198205167538
38,False,0.04,0.11,0.3148175465401684,0.224268832618959
39,False,0.04,0.11,0.3148175465401684,0.224268832618959
40,False,0.55,0.54,0.4424890883125089,0.21874594662356506
41,False,0.52,0.45,0.006006695097108135,0.0016350068266157965
42,False,0.2,0.21,0.23475691860127335,0.12097833954946606
43,False,0.55,0.62,0.6510182594432701,0.4129802911996871
44,False,0.19,0.32,0.35303346504508537,0.16014357307833968
45,False,0.15,0.18,0.19416248584939766,0.08216344438757311
46,False,0.17,0.17,0.1917760880709954,0.1257806574649791
47,False,0.26,0.28,0.25351321659047377,0.09452312107610017
48,False,0.26,0.28,0.25351321659047377,0.09452312107610017
49,False,0.75,0.75,0.7114623162491215,0.39306271811829224
50,False,0.48,0.59,0.5637001620873188,0.2968355947200417
51,False,0.42,0.41,0.4704792882233519,0.3008623353982676
52,False,0.48,0.54,0.011271721419513112,0.0022873691148678223
53,False,0.71,0.67,0.08704744637557955,0.035218737136926456
54,False,0.35,0.32,0.30098126910615486,0.16813375493412253
55,False,0.2,0.14,0.36924765530934994,0.17501936194864476
56,False,0.12,0.09,0.21207813833852054,0.14400444832434736
57,False,0.19,0.22,0.6990939741348388,0.4397178703125429
58,False,0.15,0.19,0.27556514938845067,0.1662476691651272
59,False,0.59,0.66,0.3622816765535575,0.21199078231974322
60,False,0.27,0.2,0.16998445150730082,0.08278789142995617
61,False,0.27,0.2,0.16998445150730082,0.08278789142995617
62,False,0.21,0.17,0.44592454844794605,0.26888956130952074
63,False,0.32,0.29,0.17831839222334273,0.08563194155548273
64,False,0.54,0.55,0.7734570285495821,0.6276344910922875
65,False,0.61,0.61,0.6636867611370844,0.33663643232373863
66,False,0.18,0.15,0.12666586388973963,0.039281564540550686
67,False,0.25,0.22,0.6902443711820245,0.42324503581031125
68,False,0.25,0.22,0.6902443711820245,0.42324503581031125
69,False,0.06,0.13,0.07730430079609996,0.032728851672189044
70,False,0.19,0.11,0.19372435359171777,0.09683831279479531
71,False,0.54,0.51,0.20645750811514746,0.10853866207844255
72,False,0.21,0.22,0.3777555674999073,0.22580212162279373
73,False,0.12,0.07,0.16904958777598156,0.062499734637183724
74,False,0.06,0.1,0.0712924103760648,0.029366157263395823
75,False,0.76,0.83,0.21779192345052684,0.04169537485070632
76,False,0.07,0.12,0.16266391672660369,0.06415233518431714
77,False,0.18,0.16,0.1462241768814316,0.07814177445571005
78,False,0.63,0.65,0.32074363655549,0.20534451757501979
79,False,0.28,0.22,0.6411749119048532,0.4178322994033808
80,False,0.15,0.14,0.15302435146068732,0.059786609777681375
81,False,0.55,0.64,0.5385025352021938,0.37342424238210453
82,False,0.47,0.58,0.7033384795867912,0.46967007542497397
83,False,0.47,0.58,0.7033384795867912,0.46967007542497397
84,False,0.71,0.7,0.7866226098423625,0.5452555652325145
85,False,0.57,0.54,0.5124979315796846,0.19173584470044924
86,False,0.24,0.17,0.47113018118970207,0.28312724321294236
87,False,0.53,0.6,0.5936524657949579,0.2696912772393334
88,False,0.18,0.23,0.635519330603756,0.4253970973981183
89,False,0.68,0.61,0.6907505927173673,0.46672371628527054
90,False,0.43,0.39,0.05681948513497825,0.01600492839654043
91,False,0.19,0.21,0.4469703861946166,0.2670440478556584
92,False,0.32,0.4,0.04176856633889368,0.012151767476671559
93,False,0.28,0.27,0.5321091860052394,0.3179565041374109
94,False,0.65,0.66,0.6660148515168267,0.4592583462033066
95,False,0.5,0.47,0.28648806770003266,0.11417968887552585
96,False,0.16,0.13,0.20639993917446003,0.08648725457183057
97,False,0.23,0.39,0.7570812750578723,0.5718754834330372
98,False,0.48,0.38,0.22436149314192266,0.08766491250849763
99,False,0.46,0.53,0.38908132948316304,0.21140114087769535
100,False,0.27,0.32,0.15063511766083895,0.059106628281159666
101,False,0.51,0.58,0.4754632249415021,0.3182172525460274
102,False,0.11,0.13,0.5316463248670084,0.39363089618815045
103,False,0.49,0.57,0.02809084915396034,0.010284887575733181
104,False,0.45,0.49,0.019777088764261264,0.01080410049650593
105,False,0.56,0.59,0.32675770121750447,0.21754975735347193
106,False,0.15,0.12,0.34078311903961733,0.15279266700805727
107,False,0.55,0.56,0.015869272648370937,0.0110952031985153
108,False,0.49,0.38,0.41792106277636504,0.2237391310001381
109,False,0.34,0.49,0.17183132073303978,0.07963731578814487
110,False,0.15,0.13,0.07732002796679577,0.04042348630994182
111,False,0.45,0.33,0.09659207987906099,0.04445860521686139
112,False,0.11,0.17,0.2335893398388124,0.12603639208332587
113,False,0.6,0.63,0.555233671944829,0.43568971841136717
114,False,0.34,0.27,0.8807547724783716,0.7702604006734274
115,False,0.17,0.11,0.41289520578460664,0.28816186491333606
116,False,0.46,0.58,0.001400137767358086,0.0006847298542881973
117,False,0.64,0.65,0.2813957655928782,0.14012015814878864
118,False,0.44,0.49,0.026178026683754435,0.012782944914873483
119,False,0.09,0.12,0.4926120847534589,0.2559361925617138
120,False,0.04,0.07,0.4445984095427607,0.24027738358672412
121,False,0.04,0.07,0.4445984095427607,0.24027738358672412
122,False,0.25,0.34,0.6053046259271716,0.41413706794464034
123,False,0.33,0.26,0.4861117146258365,0.2959600728045327
124,False,0.13,0.17,0.4436194524088615,0.2327212343143937
125,False,0.49,0.45,0.2787319008223315,0.11084040837291154
126,False,0.14,0.15,0.3348595224763459,0.19530335932596155
127,False,0.07,0.04,0.08964695892467664,0.04173035526139069
128,False,0.63,0.82,0.5166097507539067,0.24472547844791218
129,False,0.58,0.58,0.4400562143981168,0.266040930684194
130,False,0.47,0.53,0.4261174645675837,0.28658202729511373
131,False,0.19,0.24,0.0033274446401792925,0.0016220681284607242
132,True,0.64,0.69,0.5043938543065988,0.28499363193642985
133,False,0.36,0.45,0.250448620367641,0.17229490532426012
134,False,0.69,0.65,0.8796915289345487,0.6856832436389303
135,False,0.15,0.27,0.6845738213569863,0.4447458623043026
136,False,0.73,0.73,0.5038143882879275,0.3255908373603211
137,False,0.24,0.16,0.07971157934433544,0.033778002122674615
138,False,0.12,0.04,0.3011519582466122,0.17079955178146533
139,False,0.31,0.33,0.20774014993306072,0.03842125858683176
140,False,0.57,0.69,0.7952020007078006,0.6424060204521517
141,False,0.15,0.26,0.1499457509666385,0.11299942132131985
142,False,0.2,0.32,0.3165593649715707,0.12847013357221393
143,False,0.25,0.29,0.7601419790039581,0.46506896741001363
144,False,0.21,0.21,0.11604612370055678,0.054703493323982444
145,False,0.29,0.24,0.36982944605048196,0.030013649624473362
146,False,0.28,0.32,0.14841579398627308,0.07361587526145302
147,False,0.22,0.13,0.09525869376533651,0.05138041537055425
148,False,0.49,0.6,0.31644285963914776,0.1810097531969385
149,False,0.13,0.15,0.13940133988388154,0.054651095310232524
150,False,0.63,0.62,0.07836056841317104,0.02828412678904453
151,False,0.1,0.11,0.12678688443813232,0.06605914739986826
152,False,0.64,0.79,0.012425910943297373,0.009120343493209261
153,False,0.24,0.35,0.3001329731802708,0.07668037973776959
154,False,0.19,0.24,0.2746307367004679,0.12035037829849582
155,False,0.32,0.19,0.5688373777817488,0.4074751760201381
156,False,0.54,0.63,0.6444545060248945,0.4660981250731715
157,False,0.16,0.19,0.19537096696700834,0.10815615222064388
158,False,0.59,0.72,0.31662806227289375,0.16682812671719288
159,False,0.14,0.21,0.3398029876113552,0.1507664241946912
160,False,0.25,0.24,0.42099400411347004,0.18626044114690626
161,False,0.24,0.14,0.2097733059054948,0.1172217225181772
162,False,0.39,0.45,0.24090311377037257,0.16015317366423987
163,False,0.08,0.08,0.024204156594250226,0.01234176402235388
164,False,0.2,0.24,0.02593166975647064,0.0092437992361428
165,False,0.25,0.14,0.41160341598036665,0.26959802852459236
166,False,0.11,0.1,0.034242554467665505,0.01885560141334128
167,False,0.4,0.32,0.053683512559210125,0.02886239435830231
168,False,0.35,0.3,0.13853623186179223,0.07625569924327263
169,False,0.3,0.33,0.020300076024107355,0.008358106381810268
170,False,0.68,0.71,0.763382864186311,0.5796652295865512
171,False,0.19,0.1,0.38689979077567993,0.21527629195838413
172,False,0.28,0.3,0.16214868217670372,0.07143665614206672
173,False,0.17,0.23,0.25386822367261386,0.14215531892869668
174,False,0.53,0.51,0.25245872463639457,0.13642651947343945
175,False,0.52,0.42,0.39890236439767607,0.2062260287202946
176,False,0.19,0.16,0.1467642274635706,0.06643607555064784
177,False,0.55,0.54,0.4279280540474755,0.26834023317768996
178,False,0.32,0.33,0.06402136170803206,0.02526666274777089
179,False,0.15,0.18,0.19468720324978284,0.10840382326039455
180,False,0.09,0.11,0.23826488785010472,0.11178265514171126
181,False,0.27,0.24,0.6242944701307058,0.3891183434844967
182,False,0.25,0.33,0.4057408216695916,0.2394224544396214
183,False,0.49,0.65,0.1613603614307494,0.06361374276315868
184,False,0.13,0.17,0.1687008286407652,0.07713852663235406
185,False,0.29,0.19,0.25550763675544325,0.1453427097275069
186,False,0.7,0.72,0.672946165363363,0.4937523892553997
187,False,0.7,0.72,0.672946165363363,0.4937523892553997
188,False,0.07,0.03,0.16903170036469778,0.10525447350497667
189,False,0.21,0.17,0.5380116823138895,0.30678857818899474
190,False,0.2,0.17,0.20809637017468416,0.07560059666026368
191,False,0.28,0.31,0.8256108001391959,0.7242992519387279
192,False,0.29,0.27,0.19508025073753477,0.10758392781027913
193,False,0.14,0.15,0.17134727702995056,0.12110652420243283
194,False,0.2,0.24,0.3071481808912604,0.11608694419642135
195,False,0.47,0.41,0.43323834337088163,0.28298950417751
196,False,0.23,0.31,0.920771484669826,0.7590146928236764
197,False,0.1,0.05,0.06248311181944106,0.033801520327967155
198,False,0.52,0.57,0.43435329585191323,0.2458680948868566
199,False,0.12,0.12,0.09604835511181616,0.04611453435589693
200,False,0.13,0.13,0.1355421299153362,0.0778762314666488
201,False,0.51,0.56,0.41156309566310895,0.1726982961964533
202,False,0.75,0.78,0.9489088933274012,0.9016641014908447
203,False,0.58,0.71,0.15130929216408218,0.10116940302196918
204,False,0.56,0.52,0.3501677345531306,0.2546132362790243
205,False,0.5,0.51,0.4993380256722246,0.32088334193710105
206,False,0.19,0.23,0.46030011488724176,0.2523094743670182
207,False,0.05,0.1,0.00910137069362748,0.004259243436164939
208,False,0.22,0.23,0.10990757638921189,0.06582215331261126
209,False,0.64,0.63,0.42753837092571406,0.22361693012767117
210,False,0.8,0.74,0.6575499318895199,0.4638839618704799
211,False,0.61,0.58,0.36964524524333425,0.15691132835439023
212,False,0.23,0.15,0.1762888515249238,0.09624276915732301
213,False,0.16,0.24,0.24834333880421058,0.110572891408277
214,False,0.13,0.16,0.2838040060526926,0.16577786414949516
215,False,0.16,0.34,0.01772259748139757,0.010052125182733225
216,False,0.1,0.24,0.00808022514736187,0.0034945698959494963
217,False,0.1,0.21,0.18449574879970235,0.0631625112572877
218,False,0.23,0.23,0.17765709385265385,0.17198974694958874
219,False,0.23,0.23,0.7854966127964662,0.6354996209106853
220,False,0.26,0.21,0.5714623650873228,0.3778624658775178
221,False,0.39,0.16,0.2798054174522517,0.14823398286903058
222,False,0.17,0.19,0.6276810852919801,0.3374116358874012
223,False,0.17,0.19,0.6276810852919801,0.3374116358874012
224,False,0.24,0.15,0.5796595050968735,0.3519178300272548
225,False,0.49,0.38,0.07544179520458368,0.033010228751284815
226,False,0.78,0.76,0.7621936326559493,0.6434984903352727
227,False,0.55,0.52,0.4297097810400455,0.17537888825441125
228,False,0.6,0.54,0.7845991206206544,0.5733298813054194
229,False,0.51,0.48,0.43569382107688226,0.23537413977761593
230,False,0.24,0.23,0.46355608061459613,0.26072114640633526
231,False,0.6,0.64,0.2501286778553111,0.08398883452601603
232,False,0.34,0.37,0.1601975954528369,0.12292221222351449
233,False,0.27,0.29,0.19818873524395458,0.09952145370225521
234,False,0.42,0.52,0.5466439141204464,0.33765755931458546
235,False,0.12,0.09,0.3083849958534954,0.17657163683815474
236,False,0.19,0.23,0.5071471185850931,0.27110772821178
237,False,0.71,0.66,0.1333649878111705,0.06286746404460616
238,False,0.51,0.59,0.1629851917003256,0.095086908317674
239,False,0.23,0.29,0.30890572930674404,0.10849728151328758
240,False,0.2,0.22,0.5915207432604458,0.4044153173565351
241,False,0.34,0.25,0.018359748912872818,0.011649814809285586
242,False,0.43,0.36,0.1138951524930741,0.07497669743874173
243,False,0.42,0.65,0.19313797047179088,0.09946850405397602
244,False,0.53,0.57,0.4980996184225738,0.27886222560378315
245,False,0.16,0.29,0.3642302031238201,0.1998344933292635
246,False,0.23,0.2,0.43073095926476695,0.24351192698655577
247,False,0.55,0.67,0.5664355804625273,0.39822930452766514
248,False,0.27,0.36,0.6826534295445864,0.5375632188139227
249,False,0.37,0.48,0.07091999254201176,0.04702550138414305
250,False,0.67,0.77,0.4118447575313817,0.27729146376400465
251,False,0.49,0.62,0.7028638015774971,0.47008566177033156
252,False,0.67,0.69,0.9136532200958947,0.7763984335392542
253,False,0.52,0.45,0.3533882390762316,0.16353364630649248
254,False,0.61,0.61,0.7745166709663495,0.4295792017706754
255,False,0.69,0.76,0.6781073087508253,0.43355190489955503
256,False,0.64,0.69,0.727012399346026,0.5843807786626493
257,False,0.21,0.24,0.5056304019306685,0.3622042012998868
258,False,0.3,0.34,0.892366630551921,0.7083729508395157
259,False,0.21,0.17,0.28100485997231395,0.14302230705984875
260,False,0.15,0.14,0.10399712449472934,0.0573639716532986
261,False,0.21,0.14,0.37154577873654343,0.14403768954808197
262,False,0.16,0.15,0.16109372928595755,0.09551790072373831
263,False,0.14,0.16,0.557744322395241,0.3773636632206526
264,False,0.43,0.4,0.27031504028712466,0.23884480407867312
265,False,0.19,0.17,0.07995203105180934,0.027778478845383918
266,False,0.18,0.24,0.580417581709473,0.38974209421066774
267,False,0.15,0.15,0.2709040850527261,0.1258625785237616
268,False,0.67,0.66,0.812932969482416,0.6385948462244979
269,False,0.32,0.31,0.8078687761910746,0.716128874216344
270,False,0.63,0.59,0.6882637903954931,0.6019541567569359
271,False,0.15,0.23,0.4785249925987534,0.2629111183106721
272,False,0.21,0.24,0.6976001828195686,0.4988496677630535
273,False,0.15,0.21,0.13101093116950124,0.038229464810743206
274,False,0.18,0.15,0.13597799652517212,0.06486839857752104
275,False,0.16,0.15,0.1345227048287826,0.10212650371482644
276,False,0.72,0.78,0.8220672124809585,0.7233655795467451
277,False,0.58,0.53,0.05849454638611413,0.04427241964404843
278,False,0.21,0.1,0.04707963365036856,0.026053860880180087
279,False,0.48,0.46,0.08239999116569628,0.03925287109156319
280,False,0.3,0.24,0.7527359942637576,0.5702494452522139
281,False,0.26,0.31,0.2419183476548141,0.11522944711226295
282,False,0.24,0.2,0.47600746119382137,0.2514932129901387
283,False,0.25,0.22,0.6956657845511097,0.5121239901702875
284,False,0.11,0.13,0.10559590419901115,0.052689232867879764
285,False,0.16,0.14,0.2848237889666515,0.1633785725534212
286,False,0.2,0.12,0.2724337065880761,0.11999353905999052
287,False,0.69,0.74,0.621837022067047,0.31958858416351993
288,False,0.66,0.57,0.21937883531026503,0.11773629662803554
289,False,0.4,0.53,0.3660431067228162,0.18204845152490629
290,False,0.29,0.24,0.04356957959878263,0.016482946332518136
291,False,0.34,0.38,0.07445129645845415,0.02963199650219109
292,False,0.19,0.3,0.5318342252179302,0.39092268552669907
293,False,0.21,0.2,0.1436184726805813,0.06091003504393073
294,False,0.23,0.33,0.47778090923872646,0.24077553319163444
295,False,0.23,0.22,0.5316962065074183,0.39095501514195924
296,False,0.33,0.41,0.22549875711938294,0.09008233759554507
297,False,0.62,0.55,0.5653376119416949,0.39420770051323434
298,False,0.41,0.29,0.3490026043560713,0.22182202924215913
299,False,0.2,0.29,0.707813835475554,0.5491664449819367
300,False,0.54,0.53,0.6580072274515139,0.3879824981928491
301,False,0.6,0.64,0.5912229984616519,0.4203550680747388
302,False,0.22,0.29,0.5681170093377748,0.351597907166627
303,False,0.62,0.52,0.5601315378755973,0.3416702932025171
304,False,0.58,0.58,0.6841769719469639,0.44816929620553986
305,False,0.18,0.12,0.4863370115507376,0.2882806816296223
306,False,0.14,0.16,0.0910725776631686,0.04818361888732999
307,False,0.23,0.27,0.5494373335495178,0.34531043549295376
308,False,0.68,0.61,0.44286520275620667,0.1455139785542782
309,False,0.14,0.2,0.131548137572945,0.06434701990209857
310,False,0.45,0.45,0.037285235955958944,0.012369411588005978
311,False,0.52,0.55,0.20332895856779068,0.08896032797322637
312,False,0.35,0.29,0.14340547066063344,0.08874432134782632
313,False,0.52,0.57,0.12393161100251374,0.03561495927037166
314,False,0.46,0.41,0.35765299669878586,0.20630255685196863
315,False,0.1,0.08,0.1830576214262959,0.10859923832530535
316,False,0.55,0.61,0.7564365447780362,0.6686400579982488
317,False,0.38,0.35,0.32312675355911724,0.1644575043808581
318,False,0.16,0.2,0.12501770608665297,0.05750619528475766
319,False,0.44,0.49,0.05861653592727846,0.04024120144405227
320,False,0.08,0.14,0.10669541167289984,0.04431268979368289
321,False,0.31,0.28,0.2930289488254447,0.2027200223569563
322,False,0.7,0.63,0.6924658304167645,0.4518762842305531
323,False,0.29,0.18,0.503062198286747,0.3047753083558788
324,False,0.15,0.17,0.3033136455463966,0.12383613310812269
325,False,0.16,0.13,0.1777584125395672,0.05454853033411282
326,False,0.24,0.26,0.5218741032632335,0.3160926470759258
327,False,0.48,0.52,0.14969364098043864,0.06281521008563606
328,False,0.5,0.61,0.2837829502961735,0.17856990078860757
329,False,0.31,0.26,0.06641162324052069,0.021073139816676047
330,False,0.15,0.11,0.13325892325464564,0.052005356448563515
331,False,0.21,0.23,0.26189521589807785,0.1189240397532923
332,False,0.19,0.22,0.09876088223945836,0.08488829166962975
333,False,0.57,0.58,0.28232921869530553,0.15738929652701888
334,False,0.26,0.25,0.8680544768491056,0.6773242567648093
335,False,0.47,0.53,0.4512488315729522,0.2284810143227539
336,False,0.53,0.7,0.8341282807660818,0.5545581170063548
337,False,0.28,0.21,0.4973646394422357,0.2822577685070836
338,False,0.63,0.72,0.5079732999956831,0.29521214706021465
339,False,0.15,0.16,0.04427244044666168,0.01872940209925094
340,False,0.57,0.66,0.6047433324320622,0.4645362558590802
341,False,0.59,0.67,0.41548456788462923,0.24384238463452532
342,False,0.51,0.46,0.2995935319414231,0.14553086640749185
343,False,0.22,0.28,0.17817230216501376,0.09314327214582147
344,False,0.36,0.36,0.058023286012697205,0.031118777640952368
345,False,0.35,0.31,0.07921463010321037,0.04951156428773249
346,False,0.15,0.17,0.12194000435822441,0.04850568448316218
347,False,0.11,0.15,0.1165885651978192,0.044377927181110374
348,False,0.53,0.53,0.6699479947362917,0.45972966852808733
349,False,0.07,0.08,0.029415935363740087,0.01993521338601176
350,False,0.72,0.76,0.8472956468074866,0.7245071029476025
351,False,0.36,0.52,0.35450787427146624,0.19283410598445083
352,False,0.33,0.52,0.20245137888506612,0.09665375561458395
353,False,0.26,0.33,0.786211428757024,0.6313789498681931
354,False,0.23,0.23,0.31132816112502304,0.15821698127226336
355,False,0.48,0.37,0.21571597897391123,0.06324628653446639
356,False,0.12,0.16,0.07659302354129215,0.04457423678005295
357,False,0.24,0.17,0.619773489387032,0.4371204689219658
358,False,0.21,0.19,0.31024402401608775,0.16586534873187958
